,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV)
508,24.0,100.0,40.082,1.5,-40.5
509,24.0,125.0,19.973,1.5,-53.9
510,24.0,150.0,10.054,1.5,17.48
511,24.0,5.0,100.0,68.3,-40.6
512,24.0,25.0,94.475,68.3,-40.6
513,24.0,100.0,68.646,68.3,-40.6
514,24.0,5.0,96.2,55.8,70.76
515,24.0,10.0,86.01,55.8,70.76
516,24.0,20.0,70.0,55.8,70.76
517,24.0,30.0,49.7,55.8,70.76
518,48.0,5.0,92.96,55.8,70.76
519,48.0,10.0,79.9,55.8,70.76
520,48.0,20.0,58.43,55.8,70.76
521,48.0,30.0,30.4,55.8,70.76
522,24.0,1.0,98.308,6.0,-8.72
523,24.0,10.0,94.416,6.0,-8.72
524,24.0,12.5,93.232,6.0,-8.72
525,24.0,25.0,92.047,6.0,-8.72
526,24.0,50.0,89.34,6.0,-8.72
527,24.0,100.0,87.31,6.0,-8.72
528,24.0,1.0,93.57,141.0,71.7
529,24.0,10.0,85.448,141.0,71.7
530,24.0,12.5,61.083,141.0,71.7
531,24.0,25.0,15.736,141.0,71.7
532,24.0,50.0,9.6447,141.0,71.7
533,24.0,100.0,5.9222,141.0,71.7
534,24.0,1.0,96.277,18.3,-8.100000000000001
535,24.0,10.0,94.247,18.3,-25.12
536,24.0,12.5,95.601,18.3,-16.2
537,24.0,25.0,97.293,18.3,10.0
538,24.0,50.0,96.447,18.3,5.6499999999999995
539,24.0,100.0,93.57,18.3,-21.02
540,24.0,1.0,97.8,33.0,20.02
541,24.0,10.0,97.8,33.0,20.02
542,24.0,12.5,95.77,33.0,20.02
543,24.0,25.0,95.77,33.0,20.02
544,24.0,50.0,95.601,33.0,20.02
545,24.0,100.0,92.555,33.0,20.02
546,24.0,1.0,95.601,16.7,-8.75
547,24.0,10.0,93.232,16.7,-9.9
548,24.0,12.5,92.047,16.7,-97.37
549,24.0,25.0,91.709,16.7,8.29
550,24.0,50.0,87.817,16.7,8.29
551,24.0,100.0,72.927,16.7,-33.75
552,3.0,1.0,97.504,141.0,71.7
553,3.0,10.0,94.54,141.0,71.7
554,3.0,12.5,89.392,141.0,71.7
555,3.0,25.0,87.52,141.0,71.7
556,3.0,50.0,80.187,141.0,71.7
557,3.0,100.0,72.075,141.0,71.7
558,6.0,1.0,96.568,141.0,71.7
559,6.0,10.0,92.356,141.0,71.7
560,6.0,12.5,87.207,141.0,71.7
561,6.0,25.0,83.151,141.0,71.7
562,6.0,50.0,66.615,141.0,71.7
563,6.0,100.0,61.622,141.0,71.7
564,9.0,1.0,96.1,141.0,71.7
565,9.0,10.0,88.456,141.0,71.7
566,9.0,12.5,80.655,141.0,71.7
567,9.0,25.0,70.671,141.0,71.7
568,9.0,50.0,49.922,141.0,71.7
569,9.0,100.0,39.938,141.0,71.7
570,12.0,1.0,91.888,141.0,71.7
571,12.0,10.0,84.867,141.0,71.7
572,12.0,12.5,61.154,141.0,71.7
573,12.0,25.0,42.122,141.0,71.7
574,12.0,50.0,27.613,141.0,71.7
575,12.0,100.0,22.153,141.0,71.7
576,24.0,1.0,98.604,30.0,-6.285
577,24.0,5.0,81.98,30.0,-0.025000000000000355
578,24.0,10.0,77.919,30.0,-7.165
579,24.0,15.0,68.655,30.0,-6.4750000000000005
580,24.0,25.0,6.599,30.0,26.830000000000002
581,24.0,1.0,98.858,50.0,-10.045000000000002
582,24.0,5.0,84.264,50.0,-17.6
583,24.0,10.0,80.457,50.0,-24.700000000000003
584,24.0,15.0,68.782,50.0,71.23
585,24.0,25.0,7.2335,50.0,71.23
586,24.0,1.0,99.629,90.0,71.7
587,24.0,5.0,90.853,90.0,44.6
588,24.0,10.0,87.639,90.0,44.6
589,24.0,15.0,72.93,90.0,44.6
590,24.0,25.0,19.778,90.0,31.735
591,48.0,1.0,96.701,30.0,-0.52
592,48.0,5.0,80.584,30.0,-16.05
593,48.0,10.0,77.284,30.0,18.58
594,48.0,15.0,67.386,30.0,10.825
595,48.0,25.0,5.7107,30.0,-31.215
596,48.0,1.0,97.462,50.0,-17.6
597,48.0,5.0,83.122,50.0,-17.6
598,48.0,10.0,77.284,50.0,-26.3
599,48.0,15.0,68.401,50.0,-26.3
